41 0.0291562
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.387822 0.398607 0.432585
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.483 0.421491 0.471408
0.521632 0.393383 0.467702
0.434198 0.583983 0.487719
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.673812 0.463174 0.519816
0.734741 0.42927 0.485996
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.622448 0.392115 0.460855
0.391598 0.514929 0.543063
0.469057 0.36901 0.577801
0.536301 0.350385 0.570972
0.589172 0.465537 0.598231
-1.#IND -1.#IND -1.#IND
0.564109 0.47558 0.544477
0.648724 0.51336 0.511483
